image,iou,iou_optimal,gap,runtime
Tp_D_CRD_S_N_ind00084_ind00024_00481.tif,0.8794,0.8794,0.0,0.744
Tp_D_CRD_S_N_sec00003_sec00007_00023.tif,0.6322,0.6322,0.0,0.731
Tp_D_CRD_S_N_sec00005_sec00003_00025.tif,0.8974,0.8974,0.0,0.74
Tp_D_CRD_S_N_sec00037_art00028_00058.tif,0.2684,0.2684,0.0,0.723
Tp_D_CRD_S_O_ani10103_ani10111_10637.jpg,0.8758,0.8758,0.0,0.738
Tp_D_CRD_S_O_ani10111_ani10103_10635.jpg,0.9395,0.9395,0.0,0.761
Tp_D_CRN_L_N_nat00085_nat00086_10069.tif,0.9857,0.9857,0.0,0.952
Tp_D_CRN_M_B_ani00019_nat00013_11868.jpg,0.9762,0.9762,0.0,0.809
Tp_D_CRN_M_B_ani00046_ani00001_10100.tif,0.8667,0.8667,0.0,0.846
Tp_D_CRN_M_B_nat10143_nat00013_12037.jpg,0.9846,0.9846,0.0,0.769
Tp_D_CRN_M_B_nat10165_nat10164_12100.jpg,0.9876,0.9876,0.0,0.797
Tp_D_CRN_M_B_sec00085_arc00065_11450.jpg,0.6575,0.6575,0.0,0.754
Tp_D_CRN_M_N_ani00069_ani00041_10035.tif,0.9033,0.9033,0.0,0.811
Tp_D_CRN_M_N_ani00087_ani00081_10104.tif,0.7079,0.7079,0.0,0.746
Tp_D_CRN_M_N_ani00087_ani10101_10103.tif,0.6462,0.6462,0.0,0.733
Tp_D_CRN_M_N_ani00097_ani00001_10099.tif,0.7862,0.7862,0.0,0.721
Tp_D_CRN_M_N_ani00097_ani10101_10090.tif,0.3863,0.3863,0.0,0.722
Tp_D_CRN_M_N_ani00100_ani10101_10089.tif,0.8401,0.8401,0.0,0.724
Tp_D_CRN_M_N_ani10101_ani00081_10139.tif,0.7855,0.7855,0.0,0.718
Tp_D_CRN_M_N_ani10102_ani00097_10091.tif,0.5474,0.5474,0.0,0.724
Tp_D_CRN_M_N_ani10104_ani00097_10092.tif,0.8213,0.8213,0.0,0.734
Tp_D_CRN_M_N_ani10104_ani00100_10093.tif,0.7724,0.7724,0.0,0.72
Tp_D_CRN_M_N_ani10105_ani00100_10086.tif,0.8389,0.8389,0.0,0.736
Tp_D_CRN_M_N_ani10112_ani00100_11648.jpg,0.8642,0.8642,0.0,0.735
Tp_D_CRN_M_N_ani10112_ani10119_11624.jpg,0.9189,0.9189,0.0,0.762
Tp_D_CRN_M_N_ani10113_ani10119_11623.jpg,0.9021,0.9021,0.0,0.75
Tp_D_CRN_M_N_ani10116_ani00100_11643.jpg,0.9215,0.9215,0.0,0.757
Tp_D_CRN_M_N_ani10117_ani00100_11642.jpg,0.9249,0.9249,0.0,0.758
Tp_D_CRN_M_N_ani10118_ani00100_11638.jpg,0.8429,0.8429,0.0,0.734
Tp_D_CRN_M_N_ani10118_sec00098_11619.jpg,0.8781,0.8781,0.0,0.737
Tp_D_CRN_M_N_ani10119_ani00100_11641.jpg,0.9015,0.9015,0.0,0.742
Tp_D_CRN_M_N_ani10120_ani00100_11639.jpg,0.805,0.805,0.0,0.73
Tp_D_CRN_M_N_ani10120_sec00098_11632.jpg,0.8213,0.8213,0.0,0.741
Tp_D_CRN_M_N_ani10144_nat10139_12474.jpg,0.9929,0.9929,0.0,0.847
Tp_D_CRN_M_N_arc00008_nat10122_11773.jpg,0.9808,0.9808,0.0,0.773
Tp_D_CRN_M_N_arc00045_arc00046_10084.tif,0.8711,0.8711,0.0,0.745
Tp_D_CRN_M_N_arc00045_arc00071_10087.tif,0.9184,0.9184,0.0,0.824
Tp_D_CRN_M_N_arc00046_arc00045_10083.tif,0.9219,0.9219,0.0,0.755
Tp_D_CRN_M_N_arc00054_cha00085_11922.jpg,0.9843,0.9843,0.0,0.867
Tp_D_CRN_M_N_arc00071_arc00045_10085.tif,0.8409,0.8409,0.0,0.753
Tp_D_CRN_M_N_arc00073_arc00072_10267.tif,0.9123,0.9123,0.0,0.944
Tp_D_CRN_M_N_arc00088_arc00064_10394.tif,0.6212,0.6212,0.0,0.763
Tp_D_CRN_M_N_art00012_art00013_11812.jpg,0.918,0.918,0.0,0.829
Tp_D_CRN_M_N_art00014_art00013_11836.jpg,0.9658,0.9658,0.0,0.899
Tp_D_CRN_M_N_art00058_art00049_10529.tif,0.7644,0.7644,0.0,0.748
Tp_D_CRN_M_N_art00067_ani00093_11801.jpg,0.9224,0.9224,0.0,0.768
Tp_D_CRN_M_N_art00067_ani00095_11803.jpg,0.8871,0.8871,0.0,0.846
Tp_D_CRN_M_N_art00067_ani00096_11802.jpg,0.8966,0.8966,0.0,0.777
Tp_D_CRN_M_N_art00067_nat00013_11804.jpg,0.9314,0.9314,0.0,0.89
Tp_D_CRN_M_N_art00067_nat00059_11805.jpg,0.9423,0.9423,0.0,0.854
